"Cluster", "Phonetic Code", "Complexity", "Avg. Count", "Highest Count", "Lowest Count", "Names"
84, 0.64,"KLPRT|JLPRT",1.83,573,781,365,"Gilbert | Gilberto"
85, 0.64,"R|R",1.26,1011,1283,738,"Roy | Ray"
86, 0.62,"ALPRT|ALPRT",1.72,1381,1749,1013,"Albert | Alberto"
87, 0.61,"ARNST|ARNST",1.72,823,1007,638,"Ernest | Ernesto"
88, 0.60,"FRT|FRT",1.36,406,443,369,"Fred | Freddie"
89, 0.59,"KNTN|KNTN",1.75,564,633,495,"Quentin | Quinton"
90, 0.58,"TNT|TNT",1.46,398,444,352,"Dante | Donte"
91, 0.58,"NKLS|NKLS",1.93,865,974,756,"Nicolas | Nickolas"
92, 0.57,"JK|AK",1.24,1538,1553,1522,"Jake | Jack"
93, 0.57,"ALFRT|ALFRT",1.80,740,808,672,"Alfredo | Alfred"
94, 0.56,"ALT|ALT",2.05,421,453,388,"Elliott | Elliot"
95, 0.56,"PRS|PRS",1.90,1283,1348,1218,"Bruce | Bryce"
96, 0.55,"RLNT|RLNT",1.54,401,422,379,"Rolando | Roland"
